date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:09:02	22/22	U-----	200	untouched ('OK')	text/plain	etag:W/%2216-1727b45ee00%22	https://www.richardmille.com/robots.txt		(from )
18:09:02	53036/53036	U-----	200	untouched ('OK')	text/html	etag:%22cf2c-+4VrU3jQqzfByR2SLfAOl9Y7z7Y%22	https://www.richardmille.com/dispatch/the-brand	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/dispatch/the-brand.html	(from )
18:09:03	15086/15086	---M-Z	200	added ('OK')	image/x-icon	etag:W/%223aee-1727b45ee00%22	https://www.richardmille.com/favicon.ico	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/favicon.ico	(from https://www.richardmille.com/dispatch/the-brand)
18:09:04	218468/218468	U-----	200	untouched ('')	image/jpeg	etag:W/%2235564-1727b45ee00%22	https://www.richardmille.com/meta-image.jpg	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/meta-image.jpg	(from https://www.richardmille.com/dispatch/the-brand)
18:09:04	12480/12480	---M--	200	added ('OK')	font/woff2	etag:W/%2230c0-1727b45ee00%22	https://www.richardmille.com/fonts/interstate/Interstate-Regular.woff2	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/fonts/interstate/Interstate-Regular.woff2	(from https://www.richardmille.com/dispatch/the-brand)
18:09:04	1795/1795	U-----	200	untouched ('')	image/png	etag:W/%22703-1727b45ee00%22	https://www.richardmille.com/apple-icon-57x57.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-57x57.png	(from https://www.richardmille.com/dispatch/the-brand)
18:09:04	1800/1800	U-----	200	untouched ('')	image/png	etag:W/%22708-1727b45ee00%22	https://www.richardmille.com/apple-icon-60x60.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-60x60.png	(from https://www.richardmille.com/dispatch/the-brand)
18:09:05	12484/12484	---M--	200	added ('OK')	font/woff2	etag:W/%2230c4-1727b45ee00%22	https://www.richardmille.com/fonts/interstate/Interstate-Bold.woff2	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/fonts/interstate/Interstate-Bold.woff2	(from https://www.richardmille.com/dispatch/the-brand)
18:09:05	2055/2055	U-----	200	untouched ('')	image/png	etag:W/%22807-1727b45ee00%22	https://www.richardmille.com/apple-icon-76x76.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-76x76.png	(from https://www.richardmille.com/dispatch/the-brand)
18:09:05	2622/2622	U-----	200	untouched ('')	image/png	etag:W/%22a3e-1727b45ee00%22	https://www.richardmille.com/apple-icon-114x114.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-114x114.png	(from https://www.richardmille.com/dispatch/the-brand)
18:09:05	12448/12448	---M--	200	added ('OK')	font/woff2	etag:W/%2230a0-1727b45ee00%22	https://www.richardmille.com/fonts/interstate/Interstate-Light.woff2	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/fonts/interstate/Interstate-Light.woff2	(from https://www.richardmille.com/dispatch/the-brand)
18:09:05	2026/2026	U-----	200	untouched ('')	image/png	etag:W/%227ea-1727b45ee00%22	https://www.richardmille.com/apple-icon-72x72.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-72x72.png	(from https://www.richardmille.com/dispatch/the-brand)
18:09:05	2683/2683	U-----	200	untouched ('')	image/png	etag:W/%22a7b-1727b45ee00%22	https://www.richardmille.com/apple-icon-120x120.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-120x120.png	(from https://www.richardmille.com/dispatch/the-brand)
18:09:06	3112/3112	U-----	200	untouched ('')	image/png	etag:W/%22c28-1727b45ee00%22	https://www.richardmille.com/apple-icon-144x144.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-144x144.png	(from https://www.richardmille.com/dispatch/the-brand)
18:09:06	3880/3880	U-----	200	untouched ('')	image/png	etag:W/%22f28-1727b45ee00%22	https://www.richardmille.com/apple-icon-180x180.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-180x180.png	(from https://www.richardmille.com/dispatch/the-brand)
18:09:06	3287/3287	U-----	200	untouched ('')	image/png	etag:W/%22cd7-1727b45ee00%22	https://www.richardmille.com/apple-icon-152x152.png	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/apple-icon-152x152.png	(from https://www.richardmille.com/dispatch/the-brand)
18:09:06	4600/4600	---M--	200	added ('OK')	font/ttf	etag:W/%2211f8-1727b45ee00%22	https://www.richardmille.com/fonts/icomoon.ttf?qjwcxg	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/fonts/icomoon9cea.ttf	(from https://www.richardmille.com/dispatch/the-brand)
18:09:07	267/267	---M--	302	error ('Found')	text/html	date:Fri,%2005%20Jun%202020%2001:09:06%20GMT	http://www.googletagmanager.com/gtm.js?id=GTM-KCF8226&l=dataLayer	C:/Users/Ramod/Desktop/Scripts/RM/www.googletagmanager.com/gtm.11f8cc.delayed	(from https://www.richardmille.com/dispatch/the-brand)
18:09:07	2958/2958	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22b8e-1727b46efd0%22	https://www.richardmille.com/_nuxt/img/5f43bda.svg	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/img/5f43bda.svg	(from https://www.richardmille.com/dispatch/the-brand)
18:09:07	222/222	U-----	200	untouched ('')	text/javascript	date:Wed,%2003%20Jun%202020%2021:18:00%20GMT	https://cdn.polyfill.io/v2/polyfill.min.js?features=Object.entries	C:/Users/Ramod/Desktop/Scripts/RM/cdn.polyfill.io/v2/polyfill.min3819.js	(from https://www.richardmille.com/dispatch/the-brand)
18:09:07	62069/62069	U-----	200	untouched ('')	application/javascript	date:Fri,%2005%20Jun%202020%2000:00:00%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-KCF8226&l=dataLayer	C:/Users/Ramod/Desktop/Scripts/RM/www.googletagmanager.com/gtmf8cc.js	(from https://www.richardmille.com/dispatch/the-brand)
18:09:07	4566/4566	U-----	200	untouched ('')	application/javascript	etag:W/%2211d6-1727b46efd0%22	https://www.richardmille.com/_nuxt/20ac856ecc9b9ef2f93b.js	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/20ac856ecc9b9ef2f93b.js	(from https://www.richardmille.com/dispatch/the-brand)
18:09:08	915709/915709	U-----	200	untouched ('')	application/javascript	etag:W/%22df8fd-1727b46efd0%22	https://www.richardmille.com/_nuxt/bfa80d3455099c706cfb.js	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/bfa80d3455099c706cfb.js	(from https://www.richardmille.com/dispatch/the-brand)
18:09:08	58976/58976	U-----	200	untouched ('OK')	text/css	etag:W/%22e660-1727b46efd0%22	https://www.richardmille.com/_nuxt/81113fe565cddb1efb4f.css	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/81113fe565cddb1efb4f.css	(from https://www.richardmille.com/dispatch/the-brand)
18:09:08	190371/190371	U-----	200	untouched ('')	application/javascript	etag:W/%222e7a3-1727b46efd0%22	https://www.richardmille.com/_nuxt/94e426960029c43dde6a.js	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/94e426960029c43dde6a.js	(from https://www.richardmille.com/dispatch/the-brand)
18:09:08	1486/1486	U-----	200	untouched ('OK')	text/css	etag:W/%225ce-1727b46efd0%22	https://www.richardmille.com/_nuxt/a3b313688f8919e3f849.css	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/a3b313688f8919e3f849.css	(from https://www.richardmille.com/dispatch/the-brand)
18:09:09	5397/5397	U-----	200	untouched ('OK')	text/css	etag:W/%221515-1727b46efd0%22	https://www.richardmille.com/_nuxt/5225c978077de2e02ea5.css	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/5225c978077de2e02ea5.css	(from https://www.richardmille.com/dispatch/the-brand)
18:09:09	54949/54949	U-----	200	untouched ('OK')	text/html	etag:%22d6a5-WYiEzg3VjWrS4HOVo4E8pNxyN3Y%22	https://www.richardmille.com/dispatch/savoir-faire	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/dispatch/savoir-faire.html	(from https://www.richardmille.com/dispatch/the-brand)
18:09:09	114154/114154	U-----	200	untouched ('')	application/javascript	etag:W/%221bdea-1727b46efd0%22	https://www.richardmille.com/_nuxt/ab375376b3b62e3933c6.js	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/ab375376b3b62e3933c6.js	(from https://www.richardmille.com/dispatch/the-brand)
18:09:09	4316/4316	U-----	200	untouched ('')	application/javascript	etag:W/%2210dc-1727b46efd0%22	https://www.richardmille.com/_nuxt/fc8440aeed1ae587b4de.js	C:/Users/Ramod/Desktop/Scripts/RM/www.richardmille.com/_nuxt/fc8440aeed1ae587b4de.js	(from https://www.richardmille.com/dispatch/the-brand)
18:09:10	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2005%20Jun%202020%2001:09:10%20GMT	http://radar.cedexis.com/1/13070/radar.js	C:/Users/Ramod/Desktop/Scripts/RM/radar.cedexis.com/1/13070/radar.20.delayed	(from https://www.richardmille.com/dispatch/the-brand)
18:09:12	44756/44756	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%225daf22e7-aed4%22	http://radar.cedexis.com/1571758301/radar.js	C:/Users/Ramod/Desktop/Scripts/RM/radar.cedexis.com/1571758301/radar.js	(from https://www.richardmille.com/dispatch/the-brand)
18:09:12	323585/323585	U-----	200	untouched ('')	image/jpeg	etag:%220c031e961f7f9df0226673e845f9d386%22	https://media.richardmille.com/wp-content/uploads/2019/01/06150629/Richard-Moto-bn.jpg	C:/Users/Ramod/Desktop/Scripts/RM/media.richardmille.com/wp-content/uploads/2019/01/06150629/Richard-Moto-bn.jpg	(from https://www.richardmille.com/dispatch/the-brand)
